Contest ID,Event ID,Division ID,Role ID,Tier,Num Entries,Description
1,1,40,1,3,-1,
2,1,40,2,0,-1,
3,2,40,1,2,-1,
4,2,40,2,2,-1,
5,2,60,1,2,-1,
6,2,60,2,2,-1,
7,3,40,1,1,-1,
8,3,40,2,2,-1,
9,3,50,1,1,-1,
10,3,50,2,1,-1,
11,3,60,1,1,-1,
12,3,60,2,1,-1,
13,4,40,1,1,-1,
14,4,40,2,2,-1,
15,4,50,1,1,-1,
16,4,50,2,1,-1,
17,4,60,1,1,-1,
18,4,60,2,1,-1,
19,5,40,2,1,-1,
20,6,40,1,1,-1,
21,6,40,2,1,-1,
22,6,50,1,1,-1,
23,6,50,2,1,-1,
24,6,60,1,1,-1,
25,6,60,2,1,-1,
26,7,60,1,0,-1,
27,7,60,2,0,-1,
28,8,40,1,1,-1,
29,8,40,2,1,-1,
30,8,50,1,0,-1,
31,8,50,2,0,-1,
32,8,60,1,1,-1,
33,8,60,2,1,-1,
34,9,30,1,0,-1,
35,9,30,2,0,-1,
36,9,40,1,1,-1,
37,9,40,2,1,-1,
38,9,50,1,1,-1,
39,9,50,2,1,-1,
40,9,60,1,1,-1,
41,9,60,2,1,-1,
42,10,40,1,1,-1,
43,10,40,2,1,-1,
44,10,60,1,1,-1,
45,10,60,2,1,-1,
46,11,40,1,1,-1,
47,11,40,2,2,-1,
48,11,50,1,0,-1,
49,11,50,2,1,-1,
50,11,60,1,1,-1,
51,11,60,2,1,-1,
52,12,40,1,1,-1,
53,12,40,2,1,-1,
54,12,50,1,1,-1,
55,12,50,2,1,-1,
56,13,40,1,0,-1,
57,13,40,2,1,-1,
58,13,50,1,1,-1,
59,13,50,2,1,-1,
60,13,60,1,0,-1,
61,13,60,2,0,-1,
62,14,40,1,2,-1,
63,14,40,2,2,-1,
64,14,60,1,1,-1,
65,14,60,2,2,-1,
66,15,40,1,2,-1,
67,15,40,2,2,-1,
68,15,50,1,1,-1,
69,15,50,2,1,-1,
70,15,60,1,0,-1,
71,15,60,2,1,-1,
72,16,40,1,1,-1,
73,16,40,2,1,-1,
74,16,50,1,2,-1,
75,16,50,2,2,-1,
76,16,60,1,1,-1,
77,16,60,2,1,-1,
78,17,40,1,1,-1,
79,17,40,2,1,-1,
80,17,50,1,0,-1,
81,17,50,2,1,-1,
82,18,40,1,1,-1,
83,18,40,2,2,-1,
84,18,60,1,1,-1,
85,18,60,2,1,-1,
86,19,40,1,1,-1,
87,19,40,2,1,-1,
88,19,50,1,1,-1,
89,19,50,2,1,-1,
90,19,60,1,1,-1,
91,19,60,2,1,-1,
92,20,30,1,0,-1,
93,20,30,2,0,-1,
94,20,40,1,1,-1,
95,20,40,2,1,-1,
96,20,50,1,1,-1,
97,20,50,2,2,-1,
98,20,60,1,1,-1,
99,20,60,2,1,-1,
100,21,40,1,1,-1,
101,21,40,2,1,-1,
102,21,50,1,0,-1,
103,21,50,2,0,-1,
104,22,40,1,1,-1,
105,22,40,2,1,-1,
106,23,40,1,1,-1,
107,23,40,2,1,-1,
108,23,50,1,1,-1,
109,23,50,2,1,-1,
110,24,30,1,0,-1,
111,24,30,2,0,-1,
112,24,40,1,2,-1,
113,24,40,2,2,-1,
114,24,50,1,1,-1,
115,24,50,2,1,-1,
116,24,60,1,1,-1,
117,24,60,2,1,-1,
118,25,40,1,1,-1,
119,25,40,2,2,-1,
120,25,50,1,1,-1,
121,25,50,2,1,-1,
122,26,40,1,1,-1,
123,26,40,2,1,-1,
124,26,50,1,0,-1,
125,26,50,2,0,-1,
126,27,40,1,1,-1,
127,27,40,2,1,-1,
128,27,50,1,0,-1,
129,27,50,2,0,-1,
130,27,60,1,0,-1,
131,27,60,2,0,-1,
132,28,40,1,1,-1,
133,28,40,2,1,-1,
134,28,50,1,1,-1,
135,28,50,2,1,-1,
136,29,40,1,2,-1,
137,29,40,2,3,-1,
138,29,50,1,1,-1,
139,29,50,2,1,-1,
140,29,60,1,2,-1,
141,29,60,2,3,-1,
142,30,30,1,0,-1,
143,30,30,2,0,-1,
144,30,40,1,2,-1,
145,30,40,2,2,-1,
146,30,50,1,1,-1,
147,30,50,2,1,-1,
148,30,60,1,1,-1,
149,30,60,2,1,-1,
150,31,10,1,0,-1,
151,31,10,2,0,-1,
152,31,40,1,1,-1,
153,31,40,2,1,-1,
154,31,50,1,1,-1,
155,31,50,2,1,-1,
156,31,60,1,1,-1,
157,31,60,2,1,-1,
158,32,40,1,1,-1,
159,32,40,2,1,-1,
160,32,50,1,1,-1,
161,32,50,2,1,-1,
162,32,60,1,1,-1,
163,32,60,2,1,-1,
164,33,40,1,1,-1,
165,33,40,2,1,-1,
