Event Location ID,Event Location
1,"Albuquerque, NM"
2,"Alexandria, LA"
3,"Atlanta, GA"
4,"Austin, TX"
5,"Calgary, AB"
6,"Colorado Springs, CO"
7,"Dallas, TX"
8,"Denver, CO"
9,"Denver, Colorado"
10,"Edmonton, AB"
11,"Elmhurst, IL"
12,"Fort Worth, TX"
13,"Fresno, CA"
14,"Harrisburg, PA"
15,"Herndon, VA"
16,"Houston, TX"
17,"Indianapolis, IN"
18,"Irving, TX"
19,"Lake Tahoe, NV"
20,"Lancaster, CA"
21,"Las Vegas, NV"
22,"Mesa, AZ"
23,"Nashville, TN"
24,"Ontario, CA"
25,"Orange Co, CA"
26,"Orlando, FL"
27,"Palm Springs, CA"
28,"Phoenix, AZ"
29,"Portland, OR"
30,"Redmond, Oregon"
31,"San Diego, CA"
32,"San Francisco, CA"
33,"San Jose, CA"
34,"Scottsdale, AZ"
