Event Name ID,Event Name
1,ACDA Championships
2,Arizona Dance Classic
3,Calgary Dance Stampede
4,Colorado Country Classic
5,Dallas Dance Festival
6,Dance Camp Chicago
7,Dance N Play
8,Forever Country Dance Fest
9,FreZno Dance Classic
10,Halloween in Harrisburg
11,High Desert Classic
12,Indy Dance Explosion
13,Las Vegas Finale
14,Let's Dance Portland
15,Lone Star Invitational
16,Louisiana Hayride
17,MidAtlantic Classic
18,Mountain Magic
19,New Mexico Fiesta
20,Palm Springs New Year
21,Palm Springs Summer
22,Paradise Festival
23,Peach State Festival
24,Portland Dance Festival
25,River City Festival
26,San Diego Festival
27,South Bay Dance Fling
28,Texas Classic
29,Texas Hoedown
30,UCWDC World's
31,Waltz Across Texas
32,YESSS!!!
