Result ID,Contest ID,Result,Points,Competitor ID
1,1,1,15,2068
2,1,2,15,123
3,2,1,0,20
4,2,2,0,20
5,3,1,10,125
6,3,2,8,106
7,3,3,6,134
8,3,4,4,121
9,3,5,2,117
10,3,6,1,123
11,3,7,1,113
12,3,8,1,135
13,3,9,1,114
14,3,10,1,124
15,4,1,10,132
16,4,2,8,110
17,4,3,6,118
18,4,4,4,116
19,4,5,1,128
20,4,6,1,103
21,4,7,1,138
22,4,8,1,120
23,4,9,1,137
24,4,10,1,130
25,5,1,10,102
26,5,2,8,139
27,5,3,6,129
28,5,4,4,112
29,5,5,2,122
30,5,6,1,136
31,5,7,1,111
32,5,8,1,115
33,5,9,1,127
34,5,10,1,101
35,6,1,10,133
36,6,2,8,100
37,6,3,6,119
38,6,4,4,126
39,6,5,2,104
40,6,6,1,105
41,6,7,1,109
42,6,8,1,131
43,6,9,1,107
44,6,10,1,108
45,7,1,5,140
46,7,2,4,142
47,7,3,3,144
48,7,4,2,146
49,7,5,1,148
50,7,6,0,321
51,7,7,0,322
52,7,8,0,323
53,7,9,0,324
54,8,1,10,141
55,8,2,8,143
56,8,3,6,145
57,8,4,4,147
58,8,5,2,149
59,8,6,1,150
60,8,7,1,151
61,8,8,1,152
62,8,9,1,153
63,9,1,5,106
64,9,2,4,155
65,9,3,3,157
66,9,4,2,159
67,9,5,1,161
68,10,1,5,154
69,10,2,4,156
70,10,3,3,158
71,10,4,2,160
72,10,5,1,162
73,11,1,5,112
74,11,2,4,164
75,11,3,3,139
76,11,4,2,167
77,11,5,1,169
78,11,6,0,275
79,12,1,5,163
80,12,2,4,165
81,12,3,3,166
82,12,4,2,168
83,12,5,1,170
84,12,6,0,119
85,13,1,5,171
86,13,2,4,172
87,13,3,3,173
88,13,4,2,121
89,13,5,1,174
90,14,1,10,175
91,14,2,8,176
92,14,3,6,177
93,14,4,4,178
94,14,5,2,179
95,14,6,1,103
96,14,7,1,181
97,14,8,1,182
98,15,1,5,183
99,15,2,4,106
100,15,3,3,184
101,15,4,2,185
102,15,5,1,117
103,16,1,5,143
104,16,2,4,186
105,16,3,3,187
106,16,4,2,188
107,16,5,1,137
108,17,1,5,189
109,17,2,4,112
110,17,3,3,102
111,17,4,2,192
112,17,5,1,129
113,18,1,5,126
114,18,2,4,191
115,18,3,3,170
116,18,4,2,119
117,18,5,1,168
118,19,1,5,194
119,19,2,4,210
120,19,3,3,247
121,19,4,2,248
122,19,5,1,249
123,20,1,5,198
124,20,2,4,173
125,20,3,3,201
126,20,4,2,203
127,20,5,1,205
128,21,1,5,199
129,21,2,4,200
130,21,3,3,202
131,21,4,2,204
132,21,5,1,206
133,22,1,5,172
134,22,2,4,106
135,22,3,3,207
136,22,4,2,208
137,22,5,1,117
138,23,1,5,176
139,23,2,4,137
140,23,3,3,143
141,23,4,2,132
142,23,5,1,130
143,24,1,5,102
144,24,2,4,139
145,24,3,3,189
146,24,4,2,127
147,24,5,1,164
148,25,1,5,133
149,25,2,4,131
150,25,3,3,170
151,25,4,2,119
152,25,5,1,104
153,26,1,0,325
154,26,2,0,326
155,26,3,0,327
156,27,1,0,237
157,27,2,0,328
158,27,3,0,329
159,28,1,5,214
160,28,2,4,215
161,28,3,3,216
162,28,4,2,217
163,28,5,1,218
164,29,1,5,110
165,29,2,4,219
166,29,3,3,152
167,29,4,2,220
168,29,5,1,221
169,30,1,0,140
170,30,2,0,297
171,30,3,0,159
172,30,4,0,277
173,31,1,0,261
